"team_number","hero_1","hero_2","hero_3","hero_4","hero_5","hero_6","enhancement_details"
"1","Adam Warlock","Angela","Black Panther","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Black Panther <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"472","Gambit","Human Torch","Invisible Woman","Jubilee","Rogue","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"473","Gambit","Human Torch","Invisible Woman","Jubilee","Scarlet Witch","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"474","Gambit","Human Torch","Invisible Woman","Jubilee","The Hood","The Thing","Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch, Invisible Woman"
"475","Gambit","Human Torch","Invisible Woman","Jubilee","The Hood","Wolverine","Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"476","Gambit","Human Torch","Iron Fist","Jubilee","The Hood","The Thing","Gambit <- Jubilee; Human Torch <- Jubilee; Iron Fist <- The Thing; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"477","Gambit","Human Torch","Jubilee","Magik","Rogue","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee"
"478","Gambit","Human Torch","Jubilee","Magik","Scarlet Witch","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"479","Gambit","Human Torch","Jubilee","Magik","The Hood","The Thing","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; The Thing <- Human Torch"
"480","Gambit","Human Torch","Jubilee","Magik","The Hood","Wolverine","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"481","Gambit","Human Torch","Jubilee","Magneto","Scarlet Witch","The Hood","Gambit <- Jubilee, Magneto; Human Torch <- Jubilee; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"482","Gambit","Human Torch","Jubilee","Mister Fantastic","The Hood","The Thing","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Human Torch"
"483","Gambit","Human Torch","Jubilee","Phoenix","Rogue","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee"
"484","Gambit","Human Torch","Jubilee","Rogue","Scarlet Witch","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"485","Gambit","Human Torch","Jubilee","Rogue","The Hood","The Thing","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee; The Thing <- Human Torch"
"486","Gambit","Human Torch","Jubilee","Rogue","The Hood","Wolverine","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee; Wolverine <- Gambit"
"487","Gambit","Human Torch","Jubilee","Scarlet Witch","The Hood","The Thing","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Human Torch"
"488","Gambit","Human Torch","Jubilee","Scarlet Witch","The Hood","Wolverine","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Gambit"
"489","Gambit","Human Torch","Jubilee","The Hood","The Thing","Wolverine","Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch; Wolverine <- Gambit"
"490","Gambit","Invisible Woman","Jubilee","Mister Fantastic","The Hood","The Thing","Gambit <- Jubilee; Invisible Woman <- Mister Fantastic; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Invisible Woman"
"491","Gambit","Jubilee","Magik","Magneto","Scarlet Witch","The Hood","Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"492","Gambit","Jubilee","Magik","Phoenix","Rogue","The Hood","Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Magik, Jubilee"
"493","Gambit","Jubilee","Magik","Rogue","Scarlet Witch","The Hood","Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"494","Gambit","Jubilee","Magik","Rogue","The Hood","Wolverine","Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"495","Gambit","Jubilee","Magik","Scarlet Witch","The Hood","Wolverine","Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"496","Gambit","Jubilee","Magneto","Rogue","Scarlet Witch","The Hood","Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Rogue <- Gambit, Magneto; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"497","Gambit","Jubilee","Magneto","Scarlet Witch","The Hood","Wolverine","Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Gambit"
"498","Gambit","Jubilee","Phoenix","Rogue","Scarlet Witch","The Hood","Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"499","Gambit","Jubilee","Phoenix","Rogue","The Hood","Venom","Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee; Venom <- Phoenix"
"500","Gambit","Jubilee","Phoenix","Rogue","The Hood","Wolverine","Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee; Wolverine <- Gambit"
"501","Gambit","Jubilee","Rogue","Scarlet Witch","The Hood","Wolverine","Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Gambit"
"502","Groot","Hela","Jeff the Land Shark","Loki","Phoenix","Venom","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"503","Groot","Hela","Jeff the Land Shark","Phoenix","Rocket Raccoon","Venom","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Rocket Raccoon <- Groot; Venom <- Phoenix"
"504","Groot","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Venom","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"505","Groot","Hela","Jeff the Land Shark","Phoenix","Star-Lord","Venom","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Star-Lord <- Groot; Venom <- Phoenix"
"506","Groot","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"507","Groot","Hela","Jeff the Land Shark","Phoenix","Thor","Venom","Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"508","Groot","Hela","Mantis","Phoenix","Star-Lord","Venom","Groot <- Mantis; Hela <- Venom; Mantis <- Star-Lord; Phoenix <- Hela; Star-Lord <- Groot; Venom <- Phoenix"
"509","Groot","Human Torch","Jubilee","Mantis","Star-Lord","The Hood","Groot <- Mantis; Human Torch <- Jubilee; Jubilee <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Jubilee"
"510","Groot","Invisible Woman","Mantis","Mister Fantastic","Rocket Raccoon","Star-Lord","Groot <- Mantis; Invisible Woman <- Mister Fantastic; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"511","Groot","Invisible Woman","Mantis","Mister Fantastic","Star-Lord","The Thing","Groot <- Mantis; Invisible Woman <- Mister Fantastic; Mantis <- Star-Lord; Mister Fantastic <- The Thing; Star-Lord <- Groot; The Thing <- Invisible Woman"
"512","Groot","Jubilee","Loki","Mantis","Star-Lord","The Hood","Groot <- Mantis; Jubilee <- The Hood; Loki <- Mantis; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Jubilee"
"513","Groot","Jubilee","Magik","Mantis","Star-Lord","The Hood","Groot <- Mantis; Jubilee <- The Hood; Magik <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Magik, Jubilee"
"514","Groot","Jubilee","Mantis","Rocket Raccoon","Star-Lord","The Hood","Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Hood <- Jubilee"
"515","Groot","Jubilee","Mantis","Scarlet Witch","Star-Lord","The Hood","Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Scarlet Witch <- Jubilee; Star-Lord <- Groot; The Hood <- Jubilee"
"516","Groot","Loki","Magik","Mantis","Star-Lord","The Hood","Groot <- Mantis; Loki <- Mantis; Magik <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Magik"
"517","Groot","Loki","Mantis","Mister Fantastic","Rocket Raccoon","Star-Lord","Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"518","Groot","Loki","Mantis","Peni Parker","Rocket Raccoon","Star-Lord","Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"519","Groot","Loki","Mantis","Rocket Raccoon","Star-Lord","The Punisher","Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"520","Groot","Magik","Mantis","Rocket Raccoon","Star-Lord","The Hood","Groot <- Mantis; Magik <- The Hood; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Hood <- Magik"
"521","Groot","Mantis","Mister Fantastic","Peni Parker","Rocket Raccoon","Star-Lord","Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"522","Groot","Mantis","Mister Fantastic","Rocket Raccoon","Star-Lord","The Punisher","Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"523","Groot","Mantis","Peni Parker","Rocket Raccoon","Spider-Man","Star-Lord","Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Spider-Man <- Peni Parker; Star-Lord <- Groot"
"524","Groot","Mantis","Peni Parker","Rocket Raccoon","Star-Lord","The Punisher","Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"525","Groot","Mantis","Peni Parker","Rocket Raccoon","Star-Lord","Ultron","Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot; Ultron <- Peni Parker"
"526","Groot","Mantis","Rocket Raccoon","Star-Lord","The Punisher","Winter Soldier","Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon; Winter Soldier <- The Punisher"
"527","Hela","Human Torch","Jeff the Land Shark","Phoenix","Storm","Venom","Hela <- Venom; Human Torch <- Storm; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"528","Hela","Human Torch","Jubilee","Phoenix","The Hood","Venom","Hela <- Venom; Human Torch <- Jubilee; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"529","Hela","Human Torch","Phoenix","Storm","Thor","Venom","Hela <- Venom; Human Torch <- Storm; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"530","Hela","Invisible Woman","Mister Fantastic","Phoenix","The Thing","Venom","Hela <- Venom; Invisible Woman <- Mister Fantastic; Mister Fantastic <- The Thing; Phoenix <- Hela; The Thing <- Invisible Woman; Venom <- Phoenix"
"531","Hela","Iron Man","Jeff the Land Shark","Phoenix","Thor","Venom","Hela <- Venom; Iron Man <- Thor; Jeff the Land Shark <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"532","Hela","Iron Man","Loki","Phoenix","Thor","Venom","Hela <- Venom; Iron Man <- Thor; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"533","Hela","Iron Man","Phoenix","Spider-Man","Thor","Venom","Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"534","Hela","Iron Man","Phoenix","Squirrel Girl","Thor","Venom","Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Squirrel Girl <- Iron Man; Thor <- Hela; Venom <- Phoenix"
"535","Hela","Iron Man","Phoenix","Storm","Thor","Venom","Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"536","Hela","Iron Man","Phoenix","Thor","Ultron","Venom","Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Thor <- Hela; Ultron <- Iron Man; Venom <- Phoenix"
"537","Hela","Jeff the Land Shark","Jubilee","Phoenix","The Hood","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"538","Hela","Jeff the Land Shark","Loki","Phoenix","Spider-Man","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"539","Hela","Jeff the Land Shark","Loki","Phoenix","Storm","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"540","Hela","Jeff the Land Shark","Loki","Phoenix","Thor","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"541","Hela","Jeff the Land Shark","Magik","Phoenix","The Hood","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"542","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Squirrel Girl","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"543","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Storm","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"544","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Thor","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"545","Hela","Jeff the Land Shark","Phoenix","Storm","Thor","Venom","Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Thor, Jeff the Land Shark; Thor <- Hela; Venom <- Phoenix"
"546","Hela","Jubilee","Loki","Phoenix","The Hood","Venom","Hela <- Venom; Jubilee <- The Hood; Loki <- Hela; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"547","Hela","Jubilee","Magik","Phoenix","The Hood","Venom","Hela <- Venom; Jubilee <- The Hood; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik, Jubilee; Venom <- Phoenix"
"548","Hela","Jubilee","Phoenix","Scarlet Witch","The Hood","Venom","Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Venom <- Phoenix"
"549","Hela","Jubilee","Phoenix","Spider-Man","The Hood","Venom","Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; Spider-Man <- Venom; The Hood <- Jubilee; Venom <- Phoenix"
"550","Hela","Jubilee","Phoenix","The Hood","Thor","Venom","Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Thor <- Hela; Venom <- Phoenix"
"551","Hela","Loki","Magik","Phoenix","The Hood","Venom","Hela <- Venom; Loki <- Hela; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"552","Hela","Loki","Phoenix","Spider-Man","Squirrel Girl","Venom","Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"553","Hela","Loki","Phoenix","Spider-Man","Thor","Venom","Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"554","Hela","Loki","Phoenix","Storm","Thor","Venom","Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"555","Hela","Magik","Phoenix","Spider-Man","The Hood","Venom","Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; Spider-Man <- Venom; The Hood <- Magik; Venom <- Phoenix"
"556","Hela","Magik","Phoenix","The Hood","Thor","Venom","Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Thor <- Hela; Venom <- Phoenix"
"557","Hela","Phoenix","Rocket Raccoon","Spider-Man","Squirrel Girl","Venom","Hela <- Venom; Phoenix <- Hela; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"558","Hela","Phoenix","Spider-Man","Squirrel Girl","Thor","Venom","Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Thor <- Hela; Venom <- Phoenix"
"559","Hela","Phoenix","Spider-Man","Storm","Thor","Venom","Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"560","Human Torch","Invisible Woman","Iron Fist","Jubilee","The Hood","The Thing","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Iron Fist <- The Thing; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch, Invisible Woman"
"561","Human Torch","Invisible Woman","Jubilee","Magik","Scarlet Witch","The Hood","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"562","Human Torch","Invisible Woman","Jubilee","Magik","The Hood","The Thing","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; The Thing <- Human Torch, Invisible Woman"
"563","Human Torch","Invisible Woman","Jubilee","Magneto","Scarlet Witch","The Hood","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"564","Human Torch","Invisible Woman","Jubilee","Mister Fantastic","The Hood","The Thing","Human Torch <- Jubilee; Invisible Woman <- Human Torch, Mister Fantastic; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Human Torch, Invisible Woman"
"565","Human Torch","Invisible Woman","Jubilee","Scarlet Witch","The Hood","The Thing","Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Human Torch, Invisible Woman"
"566","Human Torch","Iron Fist","Jubilee","Magik","The Hood","The Thing","Human Torch <- Jubilee; Iron Fist <- The Thing; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; The Thing <- Human Torch"
"567","Human Torch","Iron Fist","Jubilee","Mister Fantastic","The Hood","The Thing","Human Torch <- Jubilee; Iron Fist <- The Thing; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Human Torch"
"568","Human Torch","Iron Fist","Jubilee","Scarlet Witch","The Hood","The Thing","Human Torch <- Jubilee; Iron Fist <- The Thing; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Human Torch"
"569","Human Torch","Jubilee","Magik","Magneto","Scarlet Witch","The Hood","Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"570","Human Torch","Jubilee","Magik","Mister Fantastic","The Hood","The Thing","Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Mister Fantastic <- The Thing; The Hood <- Magik, Jubilee; The Thing <- Human Torch"
"571","Human Torch","Jubilee","Magik","Scarlet Witch","The Hood","The Thing","Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee; The Thing <- Human Torch"
"572","Human Torch","Jubilee","Magneto","Rogue","Scarlet Witch","The Hood","Human Torch <- Jubilee; Jubilee <- The Hood; Magneto <- Scarlet Witch; Rogue <- Magneto; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"573","Human Torch","Jubilee","Magneto","Scarlet Witch","The Hood","The Thing","Human Torch <- Jubilee; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Human Torch"
"574","Human Torch","Jubilee","Mister Fantastic","Scarlet Witch","The Hood","The Thing","Human Torch <- Jubilee; Jubilee <- The Hood; Mister Fantastic <- The Thing; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Human Torch"
"575","Invisible Woman","Iron Fist","Jubilee","Mister Fantastic","The Hood","The Thing","Invisible Woman <- Mister Fantastic; Iron Fist <- The Thing; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Invisible Woman"
"576","Invisible Woman","Iron Fist","Magik","Mister Fantastic","The Hood","The Thing","Invisible Woman <- Mister Fantastic; Iron Fist <- The Thing; Magik <- The Hood; Mister Fantastic <- The Thing; The Hood <- Magik; The Thing <- Invisible Woman"
"577","Invisible Woman","Jubilee","Magik","Mister Fantastic","The Hood","The Thing","Invisible Woman <- Mister Fantastic; Jubilee <- The Hood; Magik <- The Hood; Mister Fantastic <- The Thing; The Hood <- Magik, Jubilee; The Thing <- Invisible Woman"
"578","Invisible Woman","Jubilee","Mister Fantastic","Scarlet Witch","The Hood","The Thing","Invisible Woman <- Mister Fantastic; Jubilee <- The Hood; Mister Fantastic <- The Thing; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Invisible Woman"
"579","Invisible Woman","Mister Fantastic","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","Invisible Woman <- Mister Fantastic; Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man"
"580","Jubilee","Magik","Magneto","Rogue","Scarlet Witch","The Hood","Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Rogue <- Magneto; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"581","Jubilee","Magneto","Phoenix","Rogue","Scarlet Witch","The Hood","Jubilee <- The Hood; Magneto <- Scarlet Witch; Phoenix <- Rogue; Rogue <- Magneto; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"582","Jubilee","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Hood","Jubilee <- The Hood; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Hood <- Jubilee"
"583","Magik","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Hood","Magik <- The Hood; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Hood <- Magik"
"584","Mister Fantastic","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Punisher","Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Punisher <- Rocket Raccoon"
"585","Mister Fantastic","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","Ultron","Mister Fantastic <- Rocket Raccoon; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; Ultron <- Peni Parker"
"586","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Punisher","Ultron","Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Punisher <- Rocket Raccoon; Ultron <- Peni Parker"
"587","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Punisher","Winter Soldier","Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Punisher <- Rocket Raccoon; Winter Soldier <- The Punisher"
